Model,Precision,Recall,F1 (macro),F1 (micro),ROC-AUC,PR-AUC,MCC,Balanced Acc.,Brier Score
LogReg,0.8793103448275862,0.6219512195121951,0.8640852831830268,0.9991994578784932,0.9743180835867236,0.7592731278775642,0.7391560499163761,0.8109017480182363,0.00069660598599134
RF,0.9443099273607748,0.7926829268292683,0.9308293284871272,0.9995611062930335,0.9497972412369252,0.8470392094087656,0.8649726547304536,0.8963010153200912,0.000413946374211308
XGBoost (SPW),0.9218390804597701,0.8150406504065041,0.9324683069935569,0.9995611062930335,0.9764176385147072,0.8587014279279575,0.8665825450996937,0.9074605323678406,0.00040640174031901424
MLP (Keras CW),0.07619548081975827,0.8841463414634146,0.5654189880624666,0.9812820611852939,0.9299834511675402,0.0844838410557417,0.25647175443883635,0.9327982467917112,0.017508228964271233
RF + SMOTE,0.8854625550660793,0.8170731707317073,0.9248222927117352,0.999501416748886,0.9789038702206658,0.8481487286191417,0.8503335803088733,0.9084451374999303,0.0005458289297664733
RF + ADASYN,0.8814317673378076,0.8008130081300813,0.9194625494038161,0.9994698164019845,0.9766289615791715,0.8339394214533498,0.8398939170898058,0.9003132975863111,0.000556791616779082
RF + RandUnder,0.05048565620058731,0.9085365853658537,0.5402851289912858,0.970323763109755,0.9769314358330083,0.7328213295827829,0.2103138252645901,0.9394836348210482,0.03294900880245218
Random Forest (Weighted),0.9484536082474226,0.7479674796747967,0.9180552212138156,0.9994943944495747,0.9572694011809013,0.8479724865344211,0.842033058061193,0.8739485675812739,0.0004305020592892731
